# Generated from Henkilöautojen-määräaikaiskatsastusten-vuositilasto-2025.xlsx
Käyttöönottovuosi;Merkki;Malli;Katsastusten lukumäärä;Hylkäys-%;Ajettujen kilometrien keskiarvo;Ajettujen kilometrien mediaani;Yleisin hylkäyssyy;Toiseksi yleisin hylkäyssyy;Kolmanneksi yleisin hylkäyssyy
2005;Merkit yhteensä;Mallit yhteensä;101227;44.26;267000;257000;Etuakselisto;Seisontajarrun dynamometritesti;Alustan kotelot ja pohjalevy
2005;Alfa Romeo;Mallit yhteensä;160;44.38;194000;193000;Etuakselisto;Alustan kotelot ja pohjalevy;Jousitus ja iskunvaimennus
2005;Audi;Mallit yhteensä;4553;41.91;311000;303000;Etuakselisto;Käyttöjarru;Jousitus ja iskunvaimennus
2005;Audi;A3;993;40.68;265000;259000;Jousitus ja iskunvaimennus;Käyttöjarru;Käyttöjarrun dynamometritesti
2005;Audi;A4;2290;42.27;313000;304000;Etuakselisto;Käyttöjarru;Jousitus ja iskunvaimennus
2005;Audi;A6;1155;42.60;350000;343000;Etuakselisto;Käyttöjarru;Jousitus ja iskunvaimennus
2005;BMW;Mallit yhteensä;4206;48.72;326000;317000;Seisontajarrun dynamometritesti;Jousitus ja iskunvaimennus;Etuakselisto
2005;BMW;1-sarja;471;47.13;270000;254000;Taka-akselisto;Käyttöjarru;Jousitus ja iskunvaimennus
2005;BMW;3-sarja;1669;54.46;313000;302000;Jousitus ja iskunvaimennus;Taka-akselisto;Seisontajarrun dynamometritesti
2005;BMW;5-sarja;1355;47.31;366000;360000;Etuakselisto;Seisontajarrun dynamometritesti;Ohjausnivelet ja -tangot
2005;BMW;X3;230;41.30;368000;357000;Etuakselisto;Seisontajarrun dynamometritesti;Jousitus ja iskunvaimennus
2005;BMW;X5;240;50;375000;375000;Etuakselisto;Seisontajarrun dynamometritesti;Käyttöjarru
2005;Chevrolet;Mallit yhteensä;879;51.08;170000;166000;Alustan kotelot ja pohjalevy;Etuakselisto;Käyttöjarrun dynamometritesti
2005;Chevrolet;KALOS;386;55.96;155000;152000;Alustan kotelot ja pohjalevy;Etuakselisto;Käyttöjarrun dynamometritesti
2005;Chevrolet;NUBIRA;160;51.88;202000;204000;Alustan kotelot ja pohjalevy;Käyttöjarru;Seisontajarrun dynamometritesti
2005;Chrysler;Mallit yhteensä;882;50;238000;234000;Alustan kotelot ja pohjalevy;Seisontajarrun dynamometritesti;Etuakselisto
2005;Chrysler;300C;206;53.88;269000;263000;Alustan kotelot ja pohjalevy;Etuakselisto;Ohjausnivelet ja -tangot
2005;Chrysler;GRAND VOYAGER;183;57.92;283000;280000;Seisontajarrun dynamometritesti;Alustan kotelot ja pohjalevy;Jousitus ja iskunvaimennus
2005;Chrysler;SEBRING;192;52.08;207000;193000;Alustan kotelot ja pohjalevy;Etuakselisto;Seisontajarrun dynamometritesti
2005;Chrysler;VOYAGER;104;45.19;268000;268000;Alustan kotelot ja pohjalevy;Seisontajarrun dynamometritesti;Käyttöjarru
2005;Citroen;Mallit yhteensä;3285;50.50;225000;220000;Etuakselisto;Alustan kotelot ja pohjalevy;Seisontajarrun dynamometritesti
2005;Citroen;C2;226;46.02;181000;182000;Etuakselisto;Käyttöjarrun dynamometritesti;Alustan kotelot ja pohjalevy
